model,test_id,test_label,duree_s,eval_duration_s,eval_count,tokens_per_s,thinking_chars,response_chars
gpt-oss:20b,08_tool_calling_nocodb,Tool calling — nocodb CLI,602.0,576.14,457.0,0.7,1549.0,143.0
gpt-oss:20b,09_challenger_decision,Calibration — challenger une decision,431.0,390.87,1217.0,3.1,3162.0,953.0
gpt-oss:20b,10_post_linkedin_ton,Redaction — post LinkedIn ton Damien,435.0,411.69,1376.0,3.3,4256.0,1456.0
gpt-oss:20b,11_hallu_chiffre_absent,Adversarial — refuser d'inventer un chiffre,126.0,115.13,266.0,2.3,1009.0,8.0
gpt-oss:20b,12_needle_haystack,Adversarial — info noyee dans long contexte,82.0,41.01,81.0,1.9,238.0,34.0
gpt-oss:20b,13_tool_calling_info_manquante,Adversarial — refuser de generer si info manquante,275.0,250.96,562.0,2.2,1959.0,234.0
gpt-oss:20b,14_calcul_multistep,Adversarial — calcul multi-etapes avec piege,114.0,97.42,158.0,1.6,420.0,57.0
gpt-oss:20b,15_prompt_injection,Adversarial — resistance prompt injection,235.0,212.28,348.0,1.6,1477.0,6.0
ministral-3:8b,01_francais,Francais pur (style + accents),50.0,4.55,26.0,5.7,0.0,129.0
ministral-3:8b,02_raisonnement,Raisonnement logique,4.0,0.41,3.0,7.5,0.0,2.0
ministral-3:8b,03_json,Extraction JSON structuree,27.0,17.79,64.0,3.6,0.0,170.0
ministral-3:8b,04_resume,Resume business (brief client),30.0,19.48,86.0,4.4,0.0,325.0
ministral-3:8b,05_code,Code Python,39.0,31.03,142.0,4.5,0.0,523.0
ministral-3:8b,06_hallu_vectara,Hallucination — methode Vectara,31.0,20.47,103.0,5.0,0.0,455.0
ministral-3:8b,07_ifeval_contraintes,IFEval — contraintes multiples combinees,23.0,16.42,83.0,5.0,0.0,310.0
ministral-3:8b,08_tool_calling_nocodb,Tool calling — nocodb CLI,21.0,9.57,49.0,5.1,0.0,149.0
ministral-3:8b,09_challenger_decision,Calibration — challenger une decision,117.0,111.27,550.0,4.9,0.0,1330.0
ministral-3:8b,10_post_linkedin_ton,Redaction — post LinkedIn ton Damien,83.0,75.01,349.0,4.6,0.0,1472.0
ministral-3:8b,11_hallu_chiffre_absent,Adversarial — refuser d'inventer un chiffre,6.0,0.57,4.0,8.0,0.0,3.0
ministral-3:8b,12_needle_haystack,Adversarial — info noyee dans long contexte,31.0,4.26,21.0,5.0,0.0,66.0
ministral-3:8b,13_tool_calling_info_manquante,Adversarial — refuser de generer si info manquante,76.0,64.73,327.0,5.0,0.0,1133.0
ministral-3:8b,14_calcul_multistep,Adversarial — calcul multi-etapes avec piege,8.0,3.28,18.0,5.6,0.0,55.0
ministral-3:8b,15_prompt_injection,Adversarial — resistance prompt injection,14.0,7.69,40.0,5.2,0.0,151.0
qwen3:0.6b,01_francais,Francais pur (style + accents),8.0,7.1,336.0,47.3,1164.0,145.0
qwen3:0.6b,02_raisonnement,Raisonnement logique,10.0,9.12,442.0,48.5,1215.0,2.0
qwen3:0.6b,03_json,Extraction JSON structuree,7.0,6.48,310.0,48.4,983.0,116.0
qwen3:0.6b,04_resume,Resume business (brief client),9.0,7.25,331.0,45.9,973.0,368.0
qwen3:0.6b,05_code,Code Python,180.0,176.68,4096.0,23.1,18925.0,0.0
qwen3:0.6b,06_hallu_vectara,Hallucination — methode Vectara,7.0,5.48,240.0,44.4,812.0,204.0
qwen3:0.6b,07_ifeval_contraintes,IFEval — contraintes multiples combinees,7.0,5.21,232.0,44.6,724.0,145.0
qwen3:0.6b,08_tool_calling_nocodb,Tool calling — nocodb CLI,11.0,9.6,406.0,42.2,1094.0,339.0
qwen3:0.6b,09_challenger_decision,Calibration — challenger une decision,12.0,10.98,482.0,44.2,1136.0,644.0
qwen3:0.6b,10_post_linkedin_ton,Redaction — post LinkedIn ton Damien,9.0,7.89,348.0,44.6,816.0,599.0
qwen3:0.6b,11_hallu_chiffre_absent,Adversarial — refuser d'inventer un chiffre,4.0,3.15,150.0,48.3,606.0,2.0
qwen3:0.6b,12_needle_haystack,Adversarial — info noyee dans long contexte,6.0,2.99,124.0,42.7,470.0,34.0
qwen3:0.6b,13_tool_calling_info_manquante,Adversarial — refuser de generer si info manquante,15.0,14.06,477.0,34.0,1320.0,455.0
qwen3:0.6b,14_calcul_multistep,Adversarial — calcul multi-etapes avec piege,11.0,9.66,323.0,33.6,854.0,56.0
qwen3:0.6b,15_prompt_injection,Adversarial — resistance prompt injection,9.0,8.09,267.0,33.3,885.0,91.0
qwen3:1.7b,01_francais,Francais pur (style + accents),62.0,58.96,771.0,13.0,3274.0,168.0
qwen3:1.7b,02_raisonnement,Raisonnement logique,57.0,54.47,713.0,13.1,2032.0,2.0
qwen3:1.7b,03_json,Extraction JSON structuree,31.0,28.93,367.0,12.6,1239.0,104.0
qwen3:1.7b,04_resume,Resume business (brief client),26.0,23.3,293.0,12.5,976.0,233.0
qwen3:1.7b,05_code,Code Python,318.0,313.01,4096.0,13.0,15889.0,0.0
qwen3:1.7b,06_hallu_vectara,Hallucination — methode Vectara,7.0,3.26,62.0,19.3,0.0,200.0
qwen3:1.7b,07_ifeval_contraintes,IFEval — contraintes multiples combinees,17.0,15.39,287.0,18.7,1005.0,79.0
qwen3:1.7b,08_tool_calling_nocodb,Tool calling — nocodb CLI,36.0,32.45,549.0,16.9,1928.0,116.0
qwen3:1.7b,09_challenger_decision,Calibration — challenger une decision,61.0,58.77,1012.0,17.2,2967.0,511.0
qwen3:1.7b,10_post_linkedin_ton,Redaction — post LinkedIn ton Damien,22.0,19.57,365.0,18.7,967.0,577.0
qwen3:1.7b,11_hallu_chiffre_absent,Adversarial — refuser d'inventer un chiffre,20.0,18.58,352.0,19.0,1445.0,2.0
qwen3:1.7b,12_needle_haystack,Adversarial — info noyee dans long contexte,12.0,6.16,114.0,18.6,433.0,6.0
qwen3:1.7b,13_tool_calling_info_manquante,Adversarial — refuser de generer si info manquante,25.0,22.45,408.0,18.2,1758.0,138.0
qwen3:1.7b,14_calcul_multistep,Adversarial — calcul multi-etapes avec piege,27.0,25.87,474.0,18.3,1116.0,5.0
qwen3:1.7b,15_prompt_injection,Adversarial — resistance prompt injection,80.0,77.62,1337.0,17.2,4320.0,145.0
qwen3:4b,01_francais,Francais pur (style + accents),94.0,90.47,774.0,8.5,3063.0,140.0
qwen3:4b,02_raisonnement,Raisonnement logique,45.0,42.68,386.0,9.0,1207.0,2.0
qwen3:4b,03_json,Extraction JSON structuree,133.0,128.22,1065.0,8.3,3373.0,154.0
qwen3:4b,04_resume,Resume business (brief client),44.0,37.81,333.0,8.8,1150.0,178.0
qwen3:4b,05_code,Code Python,600.0,,,0.0,0.0,0.0
qwen3:4b,06_hallu_vectara,Hallucination — methode Vectara,59.0,52.57,402.0,7.6,1525.0,222.0
qwen3:4b,07_ifeval_contraintes,IFEval — contraintes multiples combinees,47.0,40.39,215.0,5.3,689.0,192.0
qwen3:4b,08_tool_calling_nocodb,Tool calling — nocodb CLI,116.0,107.24,591.0,5.5,2036.0,144.0
qwen3:4b,09_challenger_decision,Calibration — challenger une decision,197.0,191.88,1363.0,7.1,3844.0,806.0
qwen3:4b,10_post_linkedin_ton,Redaction — post LinkedIn ton Damien,92.0,86.35,681.0,7.8,1848.0,1023.0
qwen3:4b,11_hallu_chiffre_absent,Adversarial — refuser d'inventer un chiffre,121.0,117.17,841.0,7.1,3624.0,11.0
qwen3:4b,12_needle_haystack,Adversarial — info noyee dans long contexte,44.0,24.7,167.0,6.7,667.0,6.0
qwen3:4b,13_tool_calling_info_manquante,Adversarial — refuser de generer si info manquante,100.0,91.86,704.0,7.6,2380.0,538.0
qwen3:4b,14_calcul_multistep,Adversarial — calcul multi-etapes avec piege,48.0,45.0,389.0,8.6,947.0,12.0
qwen3:4b,15_prompt_injection,Adversarial — resistance prompt injection,238.0,233.59,1761.0,7.5,7400.0,6.0
qwen3:8b,01_francais,Francais pur (style + accents),122.0,114.56,549.0,4.7,2020.0,192.0
qwen3:8b,02_raisonnement,Raisonnement logique,120.0,114.07,515.0,4.5,1484.0,2.0
qwen3:8b,03_json,Extraction JSON structuree,186.0,175.96,831.0,4.7,2681.0,151.0
qwen3:8b,04_resume,Resume business (brief client),57.0,47.44,225.0,4.7,733.0,159.0
qwen3:8b,05_code,Code Python,600.0,,,0.0,0.0,0.0
qwen3:8b,06_hallu_vectara,Hallucination — methode Vectara,178.0,108.5,358.0,3.2,1422.0,212.0
qwen3:8b,07_ifeval_contraintes,IFEval — contraintes multiples combinees,77.0,62.86,176.0,2.8,574.0,163.0
qwen3:8b,08_tool_calling_nocodb,Tool calling — nocodb CLI,131.0,115.57,549.0,4.7,1727.0,156.0
qwen3:8b,09_challenger_decision,Calibration — challenger une decision,600.0,,,0.0,0.0,0.0
qwen3:8b,10_post_linkedin_ton,Redaction — post LinkedIn ton Damien,184.0,173.65,706.0,4.0,1996.0,924.0
qwen3:8b,11_hallu_chiffre_absent,Adversarial — refuser d'inventer un chiffre,600.0,,,0.0,0.0,0.0
qwen3:8b,12_needle_haystack,Adversarial — info noyee dans long contexte,65.0,36.29,178.0,4.9,665.0,49.0
qwen3:8b,13_tool_calling_info_manquante,Adversarial — refuser de generer si info manquante,134.0,123.44,597.0,4.8,1961.0,389.0
qwen3:8b,14_calcul_multistep,Adversarial — calcul multi-etapes avec piege,57.0,52.07,263.0,5.0,706.0,5.0
qwen3:8b,15_prompt_injection,Adversarial — resistance prompt injection,326.0,318.22,1536.0,4.8,6549.0,6.0
mistral-nemo:12b,01_francais,Francais pur (style + accents),45.0,16.93,65.0,3.8,0.0,307.0
mistral-nemo:12b,02_raisonnement,Raisonnement logique,6.0,0.53,3.0,6.0,0.0,2.0
mistral-nemo:12b,03_json,Extraction JSON structuree,30.0,15.41,57.0,3.7,0.0,139.0
mistral-nemo:12b,04_resume,Resume business (brief client),28.0,12.2,47.0,3.8,0.0,211.0
mistral-nemo:12b,05_code,Code Python,34.0,22.4,81.0,3.6,0.0,300.0
mistral-nemo:12b,06_hallu_vectara,Hallucination — methode Vectara,34.0,18.1,69.0,3.8,0.0,318.0
mistral-nemo:12b,07_ifeval_contraintes,IFEval — contraintes multiples combinees,21.0,10.81,42.0,3.8,0.0,175.0
mistral-nemo:12b,08_tool_calling_nocodb,Tool calling — nocodb CLI,29.0,13.17,51.0,3.8,0.0,154.0
mistral-nemo:12b,09_challenger_decision,Calibration — challenger une decision,86.0,78.29,283.0,3.6,0.0,1233.0
mistral-nemo:12b,10_post_linkedin_ton,Redaction — post LinkedIn ton Damien,129.0,115.72,417.0,3.6,0.0,1983.0
mistral-nemo:12b,11_hallu_chiffre_absent,Adversarial — refuser d'inventer un chiffre,13.0,5.68,23.0,4.1,0.0,93.0
mistral-nemo:12b,12_needle_haystack,Adversarial — info noyee dans long contexte,46.0,4.7,18.0,3.8,0.0,64.0
mistral-nemo:12b,13_tool_calling_info_manquante,Adversarial — refuser de generer si info manquante,45.0,23.34,89.0,3.8,0.0,346.0
mistral-nemo:12b,14_calcul_multistep,Adversarial — calcul multi-etapes avec piege,12.0,4.45,18.0,4.0,0.0,58.0
mistral-nemo:12b,15_prompt_injection,Adversarial — resistance prompt injection,19.0,9.21,35.0,3.8,0.0,145.0
