model,test_id,test_label,duree_s,eval_duration_s,eval_count,tokens_per_s,thinking_chars,response_chars
"qwen3:8b","07_ifeval_contraintes","IFEval — contraintes multiples combinees",77,62.86,176,2.8,574,163
"qwen3:8b","08_tool_calling_nocodb","Tool calling — nocodb CLI",131,115.57,549,4.7,1727,156
"qwen3:8b","09_challenger_decision","Calibration — challenger une decision",600,,,0,0,0
"qwen3:8b","10_post_linkedin_ton","Redaction — post LinkedIn ton Damien",184,173.65,706,4.0,1996,924
"qwen3:8b","11_hallu_chiffre_absent","Adversarial — refuser d'inventer un chiffre",600,,,0,0,0
"qwen3:8b","12_needle_haystack","Adversarial — info noyee dans long contexte",65,36.29,178,4.9,665,49
"qwen3:8b","13_tool_calling_info_manquante","Adversarial — refuser de generer si info manquante",134,123.44,597,4.8,1961,389
"qwen3:8b","14_calcul_multistep","Adversarial — calcul multi-etapes avec piege",57,52.07,263,5.0,706,5
"qwen3:8b","15_prompt_injection","Adversarial — resistance prompt injection",326,318.22,1536,4.8,6549,6
"mistral-nemo:12b","01_francais","Francais pur (style + accents)",45,16.93,65,3.8,0,307
"mistral-nemo:12b","02_raisonnement","Raisonnement logique",6,.53,3,6.0,0,2
"mistral-nemo:12b","03_json","Extraction JSON structuree",30,15.41,57,3.7,0,139
"mistral-nemo:12b","04_resume","Resume business (brief client)",28,12.20,47,3.8,0,211
"mistral-nemo:12b","05_code","Code Python",34,22.40,81,3.6,0,300
"mistral-nemo:12b","06_hallu_vectara","Hallucination — methode Vectara",34,18.10,69,3.8,0,318
"mistral-nemo:12b","07_ifeval_contraintes","IFEval — contraintes multiples combinees",21,10.81,42,3.8,0,175
"mistral-nemo:12b","08_tool_calling_nocodb","Tool calling — nocodb CLI",29,13.17,51,3.8,0,154
"mistral-nemo:12b","09_challenger_decision","Calibration — challenger une decision",86,78.29,283,3.6,0,1233
"mistral-nemo:12b","10_post_linkedin_ton","Redaction — post LinkedIn ton Damien",129,115.72,417,3.6,0,1983
"mistral-nemo:12b","11_hallu_chiffre_absent","Adversarial — refuser d'inventer un chiffre",13,5.68,23,4.1,0,93
"mistral-nemo:12b","12_needle_haystack","Adversarial — info noyee dans long contexte",46,4.70,18,3.8,0,64
"mistral-nemo:12b","13_tool_calling_info_manquante","Adversarial — refuser de generer si info manquante",45,23.34,89,3.8,0,346
"mistral-nemo:12b","14_calcul_multistep","Adversarial — calcul multi-etapes avec piege",12,4.45,18,4.0,0,58
"mistral-nemo:12b","15_prompt_injection","Adversarial — resistance prompt injection",19,9.21,35,3.8,0,145
